id,event_id,event_key,name,title,event_name,description,venue,category,event_type,type,price,capacity,current_registrations,max_registrations,is_team_event,min_team_size,max_team_size,is_open,is_active,current_status,registration_deadline,event_date,start_time,end_time,coordinator_name,coordinator_contact,created_at,updated_at
008a00ae-442d-4d79-bbc5-5d4c561c9766,paper-event-aiml,,Paper Presentation(AIML),,,Paper Presentation,,technical,TEAM,,150,100,0,,true,2,3,true,true,upcoming,,2026-02-13,09:00:00,16:00:00,,,2026-02-06 06:15:11.681912+00,2026-02-13 02:47:29.171+00
03422740-757f-4011-a70e-f8e2fd53c024,Project-event-civil,,Project Presentation(CIVIL),,,Project Presentation,,technical,TEAM,,150,100,0,,true,1,3,true,true,upcoming,,2026-02-13,09:00:00,16:00:00,,,2026-02-09 04:25:27.004984+00,2026-02-13 03:47:11.494+00
037295b2-12df-4f17-8c7c-90d9cb23260d,hack-event-eee,,Sustainathon – Hackathon for Sustainable Development Goals (SDG),,,"Sustainathon is a problem-solving hackathon focused on creating innovative, practical, and scalable solutions aligned with the United Nations Sustainable Development Goals (SDGs). Participants will work in teams to design technology-driven or social-impact solutions addressing real-world sustainability challenges.",,hackathon,competition,,300,100,0,,true,2,2,false,true,upcoming,,2026-02-13,09:00:00,16:00:00,,,2026-02-06 05:10:00.164228+00,2026-02-10 10:09:59.012+00
068cc76b-d686-49a5-a9bf-6d55dbed9d16,non-tech-event-vlsi,,BlindBites: Taste it. Find it,,,"BlindBites: Taste It. Find It. is a fun and exciting team event where two members are tied back-to-back and blindfolded. 
One member tastes the mystery food item placed in front of them and gives hints to the other member without revealing the exact name of the item. 
The second member must identify the food item based on the hints. 
The winning team is decided based on the least time taken to correctly identify all the items. 
",,Non-Technical,SOLO,,150,100,0,,false,1,1,false,true,upcoming,,2026-02-14,09:00:00,16:00:00,,8122139862,2026-01-24 06:02:13.79878+00,2026-02-12 03:18:12.433+00
0e700eeb-13d9-4a2b-a05b-0dd0d47b06d2,non-tech-event-txt,,T2T-Trash 2 Textile,,,"T2T – Trash 2 Textile focuses on transforming textile waste into creative and useful products. Participants will explore techniques for recycling, upcycling, and repurposing discarded fabrics, old garments, and textile scraps. The event encourages innovation, sustainability, and hands-on creativity, helping students understand how to turn waste into value while promoting eco-friendly practices in the textile industry. 
","Nice LAB, Academic Block",Non-Technical,SOLO,,150,100,0,,false,1,1,false,true,upcoming,,2026-02-14,09:00:00,16:00:00,,9003920300,2026-01-24 06:02:13.79878+00,2026-02-12 03:16:44.561+00
0efea148-eadb-4ce0-810d-308a1b107671,event-culturals3,,CINE FEST,,,"A thrilling showcase of teamwork, rhythm, and creativity as groups compete with 
electrifying dance performances!",,cultural,,,150,100,0,,true,2,3,true,true,upcoming,,2026-02-14,09:00:00,16:00:00,Dr.N.Ramesh,8610499148,2026-01-24 06:08:04.698424+00,2026-02-10 13:13:22.52+00
0fcd0867-cddc-4ecf-b47f-acb35e273184,Project-event-txt,,Project Presentation(TXT),,,Project Presentation,,technical,TEAM,,150,100,0,,true,1,3,true,true,upcoming,,2026-02-13,09:00:00,16:00:00,,,2026-02-09 04:25:27.004984+00,2026-02-13 03:47:44.492+00
10027aee-ef6e-4f2c-b379-7e3384a7ca10,tech-event-civil,,3D Arena,,,"Transform 2D concepts into immersive 3D environments while demonstrating your mastery of spatial efficiency and creative problem-solving. This challenge tests your ability to visualize volume and texture in a high-energy setting. Bring your ideas to life, from sleek modern interiors to complex structural exteriors. 
",Civil CADD Laboratory,technical,SOLO,,250,100,0,,false,1,1,true,true,upcoming,,2026-02-13,09:00:00,16:00:00,,9688676665,2026-01-24 06:00:18.157277+00,2026-02-13 02:58:11.324+00
188a2880-965e-47c9-9169-fb5afad2bd45,paper-event-ai-ds,,Paper Presentation(AI&DS),,,,,technical,TEAM,,150,100,0,,true,2,3,false,true,upcoming,,2026-02-13,09:00:00,16:00:00,,,2026-02-06 06:03:55.29917+00,2026-02-13 05:07:00.667+00
18ea6574-f661-47ca-9840-e9665f544495,workshop-event-bt,,Next Generation Sequencing Technologies,,,"This workshop introduces Next-Generation Sequencing (NGS) technologies used in modern and future genomic and biomedical research.
Participants gain industry-oriented knowledge on advanced sequencing platforms, workflows, and data analysis trends.
The session connects molecular biology and genomics theory with real-time clinical, agricultural, and research applications.
"," Dr. M S Swaminathan Biotech Seminar Hall",WORKSHOP,SOLO,,300,110,0,,false,1,1,false,true,upcoming,,2026-02-12,09:00:00,16:00:00,Dr. Rahul Chauhan,9493754953,2026-01-24 06:05:25.013754+00,2026-02-12 07:10:28.499+00
